original,primary,status
$hillcrest petroleum, llc$,hillcrest petroleum,curated
hilliburton,halliburton,curated
$hinkle oil & gas, inc.$,hinkle oil & gas,curated
hlliburton,halliburton,curated
$hm acid services, llc$,hm acid services,curated
$hmd oil co, inc$,hmd oil co,curated
$hogback exploration, inc$,hogback exploration,curated
hollimon oil,hollimon oil,curated
hollimon oil corporation,hollimon oil,curated
$holmes exploration, llc$,holmes exploration,curated
$hopewell operating, inc.$,hopewell operating,curated
horst energy,horst energy,curated
horst energy llc,horst energy,curated
houston petroleum,houston petroleum,curated
houston petroleum company,houston petroleum,curated
howell pet.,howell pet,curated
hpc energy llc,hpc energy,curated
hppe,hppe,curated
hppe llc,hppe,curated
$hrc operating, llc.$,hrc operating,curated
hughes,baker,curated
$hughes, inc.$,baker,curated
hulen operating company,hulen operating company,curated
hunt marcellus operating company,hunt,curated
hunt oil co.,hunt,curated
hunt oil company,hunt,curated
$huntington energy, l.l.c.$,huntington energy,curated
huntley &amp; huntley energy exploration,huntley & huntley energy exploration,curated
hurd enterprises,hurd enterprises,curated
hurrcane services inc,hurricane,curated
hurrican,hurricane,curated
hurrican services,hurricane,curated
hurricane,hurricane,curated
hurricane services,hurricane,curated
hurricane services inc,hurricane,curated
hurricane services inc.,hurricane,curated
husky ventures,husky ventures,curated
$husky ventures, inc.$,husky ventures,curated
hvg-1,not a company,curated
$hw operating, llc$,hw operating,curated
hwh drilling llc,hwh drilling,curated
hydrite chemical co.,hydrite chemical,curated
hydro carbon chemical,hydrocarbon chemical,curated
hydro carbon chemicals,hydrocarbon chemical,curated
hydrocarbon,hydrocarbon chemical,curated
hydrocarbon chemical,hydrocarbon chemical,curated
$hydrochloric acid,$,not a company,curated
hydrogen chloride,not a company,curated
hydroreated paraffinic solvent,not a company,curated
$hydrotreated distillate, light$,not a company,curated
$hydrotreated distillate, middle$,not a company,curated
i-mac petroleum service inc.,i-mac petroleum service,curated
iamondback e&p llc,diamondback,curated
ibc,ibc,curated
iburton,halliburton,curated
ica energy,ica energy,curated
$ica energy operating, llc$,ica energy,curated
ici,ici,curated
ico polymers,ico polymers,curated
idependent oil,independent oil,curated
ies,ies,curated
imc,imc,curated
imerys,imerys,curated
imerys oilfield,imerys,curated
imerys oilfield solutions,imerys,curated
impact,impact,curated
impact chemical,impact,curated
impact chemical technologies,impact,curated
$impact chemical technologies, inc.$,impact,curated
impact chemicals,impact,curated
impact fluid solutions,impact,curated
impact material solutions,impact,curated
impct chemical,impact,curated
imperative,imperative,curated
imperative chemical,imperative,curated
imperative chemical partners,imperative,curated
imperative chemical partners inc.,imperative,curated
imperative chemicals,imperative,curated
$imperial gas resources, llc$,imperial gas resources,curated
imperitive,imperative,curated
impetro operating,impetro operating,curated
impetro operating llc,impetro operating,curated
$impetro operating, llc$,impetro operating,curated
ims,ims,curated
in-situ treatment technologies,in-situ treatment technologies,curated
inc.,ambiguous,curated
incline energy,incline energy,curated
indendepant oil,independence,curated
indepedent oil,independence,curated
independant oil,independence,curated
$independenca oilfield chemicals, llc$,independence,curated
independence,independence,curated
independence  oilfield chemicals,independence,curated
independence oil field company,independence,curated
$independence oil field company, llc$,independence,curated
independence oilfield,independence,curated
independence oilfield chemcials,independence,curated
independence oilfield chemical,independence,curated
independence oilfield chemicals,independence,curated
$independence oilfield chemicals, llc$,independence,curated
independence oilfield chems.,independence,curated
independence oilfield chenical,independence,curated
independence resources,independence,curated
$independence resources management, llc.$,independence,curated
independendent oil,independence,curated
independent oil,independence,curated
independent oilfield chemicals,independence,curated
independent salt co,independence,curated
$indian oil co., inc.$,indian oil,curated
$indigo ii louisiana operating, llc$,indigo,curated
indigo minerals,indigo,curated
indpendence,independence,curated
$industria del alcali, s. a. de c. v.$,industria del alcali s. a. de c. v.,curated
industrial biocide,industrial biocide,curated
industrial chemical,industrial compounding,curated
industrial chemicals corporation,industrial chemicals corporation,curated
industrial compoundin,industrial compounding,curated
industrial compoundin g,industrial compounding,curated
industrial compoundin g llc,industrial compounding,curated
industrial compounding,industrial compounding,curated
industrie s,ambiguous,curated
industries,ambiguous,curated
$industries, inc.$,ambiguous,curated
inflection energy,inflection energy,curated
inflection energy (pa) llc,inflection energy,curated
inflo 250w,not a company,curated
ingredients listed this line and below are part of,not a company,curated
ingredients shown above are subject to 29 cfr 1910,not a company,curated
inhibitor,not a company,curated
inland ocean,inland ocean,curated
$inland ocean, inc.$,inland ocean,curated
inland operating company,inland operating company,curated
innopec,innospec,curated
innoprop,innoprop,curated
innopsec oilfield services,innospec,curated
innospce oilfield services,innospec,curated
innospec,innospec,curated
innospec oifield services,innospec,curated
innospec oiifield services,innospec,curated
innospec oilfield,innospec,curated
innospec oilfield service,innospec,curated
innospec oilfield services,innospec,curated
innospec oilfield services (bwa),innospec,curated
innospec oilfield sevices,innospec,curated
innospec oilfiield services,innospec,curated
innospec oilfiled services,innospec,curated
innospec olfield services,innospec,curated
innsopec,innospec,curated
inoric llc,finoric,curated
$inpex eagle ford, llc$,$inpex eagle ford, llc$,curated
$inr operating, llc$,inr operating,curated
$integrated microbial delivery, inc.$,integrated microbial delivery,curated
integrity,integrity,curated
integrity bio-chem,integrity,curated
$integrity bio-chem, llc$,integrity,curated
integrity biochem,integrity,curated
integrity biochemical,integrity,curated
integrity delaware llc,integrity,curated
$integrity delaware, llc$,integrity,curated
integrity industries,integrity,curated
$integrity industries, inc.$,integrity,curated
$intergrated microbial delivery, inc.$,integrated microbial delivery,curated
internati,ambiguous,curated
internati on ploymetri cs,international polymerics,curated
internati onal,ambiguous,curated
internati onal polymetri cs,international polymerics,curated
international,ambiguous,curated
$international dioxcide, inc.$,international dioxcide.,curated
international energy,international energy,curated
international energy corporation,international energy,curated
international energy corporation of northern oklahoma,international energy,curated
international polymerics,international polymerics,curated
international ventures,international ventures,curated
interstate,interstate,curated
interstate chemical company,interstate,curated
interstate exploration,interstate,curated
interstate explorations llc,interstate,curated
$interstate explorations, llc$,interstate,curated
ioc,ioc,curated
iospec,iospec,curated
iron chelating agent,not a company,curated
iron control additive,not a company,curated
iron control additives,not a company,curated
$iron star energy, llc$,iron star energy,curated
ironwood,ironwood,curated
$ironwood oil and gas, llc$,ironwood,curated
isomeric industries,isometric industries,curated
isomeric industries inc,isometric industries,curated
isometric industries inc.,isometric industries,curated
isometric industries llc,isometric industries,curated
isometric industries llc.,isometric industries,curated
isopropyl alcohol,not a company,curated
italmatch chemicals,italmatch chemicals,curated
$itexco texas, llc$,itexco texas,curated
ixom,ixom,curated
ixom operatings pty ltd,ixom,curated
j & j production company,j & j production company,curated
j & t operating llc,j & t operating,curated
j 2 acids,j 2 acids,curated
j cleo thompson,j cleo thompson,curated
j cleo thompson- odessa,j cleo thompson,curated
j cleo thompson-odessa,j cleo thompson,curated
j l watkins,j l watkins,curated
j-2 acids,j-2 acids,curated
j-brex company,j-brex company,curated
j-d-o oil co.,j-d-o oil,curated
j-lyn oil co.,j-lyn oil,curated
j-w operating company,j-w operating company,curated
j. cleo thompson,j. cleo thompson,curated
$j.i. staley co., llc$,j.i. Staley,curated
$j&j production co., llc$,j & j production company,curated
j2,j2,curated
j2 acid,j2,curated
j2 acids,j2,curated
j4 fluid services,j4,curated
j4 oilfield,j4,curated
j4oilfield,j4,curated
$jabsco oil operating, llc$,jabsco oil operating,curated
jacam,jacam,curated
jacam chemcials,jacam,curated
jacam chemicals,jacam,curated
$jacam chemicals 2013, l.l.c$,jacam,curated
$jacam chemicals, l.l.c.$,jacam,curated
$jacam chemicals, llc$,jacam,curated
jacam manufacturing,jacam,curated
$jacam manufacturing 2013, l.l.c.$,jacam,curated
$jacam manufacturing, llc$,jacam,curated
$jacam manufcturing, llc$,jacam,curated
jacam southwest,jacam,curated
jacama southwest,jacama southwest,curated
jagged peak energy,jagged peak energy,curated
jagged peak energy llc,jagged peak energy,curated
jamcam chemical s,jacam,curated
jamcam chemicals,jacam,curated
$jamex, inc.$,jamex,curated
jamplast,jamplast,curated
jamplast inc,jamplast,curated
jamplast inc.,jamplast,curated
$jamplast, inc$,jamplast,curated
$jamplast, inc,$,jamplast,curated
$jamplast, inc.$,jamplast,curated
jan,jan,curated
jan chem,jan,curated
jan resouces,jan,curated
jan resources,jan,curated
$jan resources, llc$,jan,curated
jay bee oil & gas inc,jay bee oil & gas,curated
$jay-bee oil & gas, inc.$,jay bee oil & gas,curated
jay-bee oil and gas,jay bee oil & gas,curated
jaybee oil & gas,jay bee oil & gas,curated
jb production llc,jb production,curated
jcam,jcam,curated
jcam manufacturing llc,jcam,curated
$jdl operating, llc$,jdl operating,curated
jec operating,jec operating,curated
$jec operating, llc$,jec operating,curated
jerry hess operating co- muenster,jerry hess operating company,curated
jerry hess operating co-muenster,jerry hess operating company,curated
jerry hess operating company,jerry hess operating company,curated
jetta,jetta,curated
jetta  operating,jetta,curated
jetta operating,jetta,curated
$jetta operating co, inc.$,jetta,curated
jetta operating co.,jetta,curated
$jetta operating company, inc$,jetta,curated
$jetta operating company, inc.$,jetta,curated
$jetta operating compnay, inc$,jetta,curated
$jilpetco, inc.$,jilpetco.,curated
jimmy chatham oil & gas,jimmy chatham oil & gas,curated
$jingang new material co., ltd$,jingang new material,curated
jklm,jklm,curated
jklm energy,jklm,curated
jlan resources,jlan resources,curated
$jm cox resources, l.p.$,jm cox resources,curated
jma energy company,jma energy company,curated
$jma energy company,llc$,jma energy company,curated
jma energy-ok city,jma energy company,curated
$jmh production, llc$,jmh production,curated
johanson oil,johanson oil,curated
$john m. clark, inc.$,john m. clark,curated
john oates acid,john oates,curated
john oats company inc,john oates,curated
johnson & ernst operating co.,johnson & ernst operating,curated
johnson &amp; ernst operating co.,johnson & ernst operating,curated
jolen operating company,jolen operating company,curated
jonah energy,jonah energy,curated
jonah energy llc,jonah energy,curated
jones energy,jonah energy,curated
jones energy llc,jones energy,curated
jones energy ltd,jones energy,curated
$jones energy, llc$,jones energy,curated
jones hamilton,jones hamilton,curated
jones-hamilton co.,jones hamilton,curated
jpe,jpe,curated
$jpm eoc operating, inc. dba rock oil ii, inc.$,rock oil,curated
jt products,jt products,curated
juneau energy,juneau energy,curated
$juneau energy, llc$,juneau energy,curated
juniper resources,juniper resources,curated
$juniper resources exploration company, llc$,juniper resources,curated
$juno operating company ii, llc$,juno operating company,curated
$juno operating company iii, llc$,juno operating company,curated
$jva operating company, inc.$,jva operating company,curated
jw energy,jw,curated
jw operating,jw,curated
k and c distribution,k and c distribution,curated
k and c distributon,k and c distribution,curated
k c distributon,k and c distribution,curated
$k s oil company, inc$,k s oil company,curated
$k. d. timmons, inc.$,k. d. timmons,curated
k.p. kauffman company,k.p. kauffman company,curated
k.s. oil company,k s oil company,curated
k&c distribution,k and c distribution,curated
k3 oil & gas operating company,k3 oil & gas operating company,curated
$ka energy op co., llc$,ka energy,curated
kaiser-francis,kaiser-francis,curated
kaiser-francis oil company,kaiser-francis,curated
kaler energy corp.,kaler energy,curated
kandc distributon,kandc distributon,curated
$katsco energy, inc.$,katsco energy,curated
kc distributon,k and c distribution,curated
kcl,not a company,curated
keane,keane,curated
keane energy,keane,curated
keane frac,keane,curated
keane frac lp,keane,curated
keane group,keane,curated
keane group and cudd energy services,keane,curated
keane stock,keane,curated
keen resources llc,keen resources,curated
keeton services inc.,keeton services,curated
$keith f. walker oil & gas co., llc$,keith f. walker oil & gas,curated
$keith f. walker oil &amp; gas co., llc$,keith f. walker oil & gas,curated
kel tech,keltech,curated
kel-tec,keltech,curated
kel-tech,keltech,curated
kel-tech inc.,keltech,curated
$kel-tech, inc$,keltech,curated
$kel-tech, inc.$,keltech,curated
kel-tech. inc,keltech,curated
kel-teck,keltech,curated
kelly,kelly,curated
kelly cook oil llc,kelly cook oil,curated
keltec,keltech,curated
keltech,keltech,curated
kemira,kemira,curated
kemira chemicals,kemira,curated
$kemira chemicals, inc.$,kemira,curated
$ket-tech, inc$,keltech,curated
keyera,keyera,curated
keystone petroleum nm llc,keystone petroleum nm,curated
keyton svs,keyton svs,curated
kgh operating company,kgh operating company,curated
killam,killam oil,curated
killam oil,killam oil,curated
killam oil co,killam oil,curated
$killam oil co., ltd.$,killam oil,curated
killiam oil,killam oil,curated
kimera,kemira,curated
kinder morgan,kinder morgan,curated
$kinder morgan tejas pipeline, llc$,kinder morgan,curated
king energy llc,king,curated
king operating corp.,king,curated
kings,kings,curated
kings chemical service,kings,curated
kingsfield,kingsfield,curated
kingsfield inc,kingsfield,curated
kingsfield inc.,kingsfield,curated
kirkpatrick oil,kirkpatrick oil,curated
kirkpatrick oil company,kirkpatrick oil,curated
$kirkpatrick oil company, inc$,kirkpatrick oil,curated
$kj energy, llc$,kj energy,curated
klear energy services,klear energy services,curated
kleen oil field services,kleen oil field services,curated
koch exploration company llc,koch exploration company,curated
$koch exploration company, llc$,koch exploration company,curated
koda operating,koda,curated
$koda resources operating, llc$,koda,curated
kodiak oil & gas corp,kodiak oil and gas,curated
$kodiak oil & gas, inc.$,kodiak oil and gas,curated
kodiak oil &amp; gas corp,kodiak oil and gas,curated
kodiak oil and gas,kodiak oil and gas,curated
$kovar operating, llc$,kovar operating,curated
kraken oil,kraken,curated
kraken operating llc,kraken,curated
$krc operating, llc$,krc operating,curated
kroff,kroff,curated
kroff chemical,kroff,curated
kroff chemical co,kroff,curated
krs,krs,curated
ksi,ksi,curated
kws,kws,curated
$l & m operating, inc.$,l & m operating,curated
l.c.,l.c.,curated
$l.e. jones operating, inc.$,l.e. jones operating,curated
l&s tank trucks,l&s tank trucks,curated
l1310765,not a company,curated
l210,not a company,curated
la vernia oil,la vernia,curated
la vernia pump & supply,la vernia,curated
lacrosse exploration llc,lacrosse exploration,curated
ladd oil & gas corporation,ladd oil and gas,curated
ladd oil and gas,ladd oil and gas,curated
$laddex, ltd$,laddex ltd,curated
$lainco, inc.$,lainco,curated
lake,lake,curated
$lakeshore operating, llc$,lakeshore operating,curated
$lakota energy, ltd.$,lakota energy,curated
lance ruffel,lance ruffel,curated
lance ruffel oil and gas,lance ruffel,curated
land and natural resource development,land and natural resource development,curated
$land and natural resource development, inc$,land and natural resource development,curated
$land and natural resource development, inc.$,land and natural resource development,curated
land inc,land and natural resource development,curated
lane operating company,lane operating company,curated
lanxess,lanxess,curated
lapetco inc,lapetco,curated
$laramie energy ii, llc$,laramie energy,curated
$laramie energy, llc$,laramie energy,curated
laredo,laredo,curated
laredo energy,laredo,curated
$laredo energy operating, llc$,laredo,curated
laredo petroleum,laredo,curated
$laredo petroleum, inc$,laredo,curated
$laredo petroleum, inc.$,laredo,curated
lario,lario,curated
lario oil & gas,lario,curated
lario oil & gas company,lario,curated
lario oil and gas,lario,curated
lario transports,lario,curated
latigo,latigo,curated
$latigo oil & gas, inc.$,latigo,curated
latigo petroleum,latigo,curated
$latigo petroleum, llc$,latigo,curated
layline petroleum,layline petroleum,curated
layne,layne,curated
lcs,lcs,curated
lcs production company,lcs,curated
lease,lease,curated
$leclair operating co., inc.$,leclair operating,curated
lee cox investments,lee cox investments,curated
leg,ambiguous,curated
$legacy exploration, llc i$,legacy,curated
$legacy oil & gas nd, inc.$,legacy,curated
legacy reserves operating lp,legacy,curated
$legado permian, llc$,legado permian,curated
legend,legend,curated
legend energy,legend,curated
$legend natural gas, llc$,legend,curated
$legend well site solutions, llc$,legend,curated
lenorman operating,lenorman operating,curated
lenorman operating llc,lenorman operating,curated
lera,lera,curated
lera oil,lera,curated
levant,levant,curated
levant energy llc,levant,curated
lewis,lewis,curated
lewis energy group,lewis,curated
$lewis oil operations, llc$,lewis,curated
lewis operating co.,lewis,curated
lewis petro properties,lewis,curated
lfs chemistry,lfs chemistry,curated
liberty,liberty,curated
liberty oilfield,liberty,curated
liberty oilfield servces,liberty,curated
liberty oilfield services,liberty,curated
$liberty operating, inc.$,liberty,curated
liberty resources llc,liberty,curated
$liberty resources management company, llc$,liberty,curated
$lighthouse exploration, inc.$,lighthouse,curated
lighthouse oil & gas lp,lighthouse,curated
lighthouse oil & gas-oklahoma city,lighthouse,curated
lightning fluid services,lightning,curated
lightning oil company,lightning,curated
lightningfluids,lightning,curated
lilis energy,lilis energy,curated
lime rock resources,lime rock,curated
$lime rock resources, lp$,lime rock,curated
$limestone exploration ii, llc$,limestone exploration,curated
linde,linde,curated
lindy,lindy,curated
linn,linn,curated
linn energy,linn,curated
$linn energy, llc$,linn,curated
linn operating,linn,curated
linn operating inc,linn,curated
$linn operating, inc.$,linn,curated
liquid gel concentrate,not a company,curated
listed above,not a company,curated
listed below,not a company,curated
little river energy co,little river energy co,curated
llc,ambiguous,curated
llewellin,llewellin,curated
llewellin operating company,llewellin,curated
$llewellin operating company, llc$,llewellin,curated
lliburton energy services inc.,halliburton,curated
local creek,ambiguous,curated
$location - hood creek, ky$,ambiguous,curated
$location - rockhouse creek, ky$,ambiguous,curated
$logos operating, llc$,logos operating,curated
loki oil llc,loki oil,curated
lone star,lone star,curated
lone star industries,lone star,curated
lone star land & energy ii,lone star,curated
lonestar operating llc,lone star,curated
$lonestar resources, inc.$,lone star,curated
longfellow energy,longfellow energy,curated
$longfellow energy, lp$,longfellow energy,curated
longs peak energy,longs peak,curated
$longs peak resources, llc$,longs peak,curated
lonza,lonza,curated
lonza inc.,lonza,curated
los,los,curated
$lp operating, llc$,lp operating,curated
ltd,ltd,curated
ltz,ltz,curated
$lu-ray petroleum, llc$,lu-ray petroleum,curated
lubizol,lubrizol,curated
lubizole,lubrizol,curated
lubrizol,lubrizol,curated
luca operation llc,luca,curated
$luca resources group, llc$,luca,curated
$luxe operating, llc$,luxe operating,curated
lwc,lwc,curated
lynn,lynn,curated
lynx oklahoma operating llc,lynx oklahoma operating,curated
m,ambiguous,curated
m group,m group,curated
m group llc,m group,curated
m i swaco,m i swaco,curated
m-i swaco,m i swaco,curated
$m. e. operating and services, inc.$,m. e. operating and services,curated
m1511487,not a company,curated
m1611597,not a company,curated
m1811920,not a company,curated
mach resources,mach resources,curated
macha enterprises inc,macha enterprises,curated
mack energy,mack energy,curated
mack energy co.,mack energy,curated
mack energy corporation,mack energy,curated
mackellar inc,mackellar,curated
mackey consulting & leasing llc,mackey consulting & leasing,curated
madmackenzie solutions,madmackenzie solutions,curated
magna,magna,curated
magna blend,magnablend,curated
magnablend,magnablend,curated
$magnablend, inc.$,magnablend,curated
magnablend/pfp,magnablend,curated
magnesium chloride,not a company,curated
magnesium nitrate,not a company,curated
magnet oil lp,magnet oil,curated
magnolia oil & gas llc,magnolia oil & gas,curated
magnum,magnum,curated
$magnum energy, inc.$,magnum,curated
magnum hunter resources corp,magnum,curated
$magnum producing, lp$,magnum,curated
$magpie operating, inc$,magpie operating,curated
maintenance materials resource,maintenance materials resource,curated
$mak-j energy colorado, llc$,mak-j energy colorado,curated
$mak-j energy colorado, llc.$,mak-j energy colorado,curated
makoil inc,makoil,curated
mallard exploration,mallard exploration,curated
mallinekrodt chemicals,mallinekrodt chemicals,curated
malone,malone,curated
malone-marsh well,malone,curated
mammoth,mammoth,curated
$mammoth exploration, llc$,mammoth,curated
manti,manticore,curated
manti exploration operating llc,manti exploration operating,curated
manti tarka permian,manti tarka permian,curated
manticore,manticore,curated
manticore resources,manticore,curated
$manticore resources, llc$,manticore,curated
$manzano, llc$,manzano,curated
marathon,marathon,curated
marathon oil,marathon,curated
marathon oil co,marathon,curated
marathon oil corporation,marathon,curated
marjo,marjo,curated
$marjo operating mid-continent, llc$,marjo,curated
marlin energy,marlin energy,curated
marlin energy resources ltd,marlin energy,curated
$marlin energy resources, llc$,marlin energy,curated
$marlin energy southwest gp, l.l.c.$,marlin energy,curated
marsh trucking,marsh trucking,curated
$marshall & winston, inc.$,marshall & winston,curated
martin production company,martin production company,curated
mason,mason,curated
mason chemical co.,mason,curated
mason chemical company,mason,curated
master petroleu m,master petroleum,curated
master petroleum,master petroleum,curated
matador,matador,curated
matador production coampany,matador,curated
matador production company,matador,curated
matador resources,matador,curated
matador_production_company,matador,curated
matrix oil corporation,matrix,curated
matrix petroleum llc,matrix,curated
matrix proppants llc,matrix,curated
maverick,maverick,curated
maverick brothers resources,maverick,curated
$maverick brothers resources,llc$,maverick,curated
$maverick operating, llc$,maverick,curated
maxidize,maxidize,curated
maxim energy,maxim energy,curated
maxim energy corp.,maxim energy,curated
maxim energy corporation,maxim energy,curated
$maximus operating, ltd.$,maximus operating,curated
mbi,mbi,curated
mc,mc,curated
mc b 8630,not a company,curated
mc mx 2-2822,not a company,curated
mcallen central,mcallen,curated
mcallen central 100,mcallen,curated
mcallen central 50 nabors 50,mcallen,curated
mcallen central 80 city water 20,mcallen,curated
mcallen ranch well #154 100%,mcallen,curated
mcclure oil co.,mcclure oil,curated
mccoil,mcoil,curated
mccommons oil company,mccommons oil company,curated
mccoy petroleum,mccoy petroleum,curated
mccoy petroleum corporation,mccoy petroleum,curated
mcelvain,mcelvain,curated
mcelvain energy,mcelvain,curated
$mcelvain energy, inc.$,mcelvain,curated
mcg oil,mcg oil,curated
$mcg oil & gas operating, llc$,mcg oil,curated
mcoil,mcoil,curated
mcoil operating company,mcoil,curated
mcoil services,mcoil,curated
md america energy llc,md america energy,curated
$md america energy, llc.$,md america energy,curated
mdc,mdc,curated
mdc texas energy,mdc,curated
mds energy development llc,mds energy,curated
mds energy ltd,mds energy,curated
$mds energy, ltd$,mds energy,curated
meade energy corp.,meade energy corp.,curated
meason petroleum llc,meason petroleum,curated
meco iv-denver,meco,curated
$meco iv, llc$,meco,curated
$medders oil company, inc.$,medders oil,curated
media,ambiguous,curated
$mego resources, llc$,mego resources,curated
memorial production oper. :llc,memorial,curated
memorial resource development llc,memorial,curated
mendell finisterre ii llc,mendell finisterre,curated
mercury operating,mercury operating,curated
$mercury operating, llc$,mercury operating,curated
merit,merit,curated
merit energy,merit,curated
merit energy company,merit,curated
merit energy company llc,merit,curated
$meritage energy company, llc$,meritage energy company,curated
mertz energy llc,mertz energy,curated
mesa energy partners,mesa energy partners,curated
$mesa energy partners, llc$,mesa energy partners,curated
mesquite swd,mesquite swd,curated
$mestena operating, l.l.c.$,mestena operating,curated
$metano energy iii, lp$,metano energy,curated
methanol,not a company,curated
mewbourne,mewbourne,curated
mewbourne oil company,mewbourne,curated
mgm northstar,mgm northstar,curated
$mgm northstar, llc$,mgm northstar,curated
mi swaco,mi swaco,curated
mic,mic,curated
mic specialty,mic,curated
mic specialty chem,mic,curated
microbial id.,microbial id,curated
mid chem inc.,mid-chem,curated
mid-chem,mid-chem,curated
mid-chem inc.,mid-chem,curated
$mid-chem, inc$,mid-chem,curated
$mid-chem, inc.$,mid-chem,curated
mid-con energy,mid-con energy,curated
$mid-con energy operating, llc$,mid-con energy,curated
mid-state s operating co,mid-states operating co,curated
mid-states operating co,mid-states operating co,curated
mid-states operating company,mid-states operating co,curated
midchem,mid-chem,curated
midcon energy,mid-con energy,curated
$middle fork energy parterns, llc$,middle fork energy,curated
middle fork energy partners,middle fork energy,curated
middle rork energy partners,middle fork energy,curated
$midenergy operating, llc$,midenergy operating,curated
midland energy inc.,midland,curated
$midland oil and gas, inc.$,midland,curated
midstates,midstates,curated
midstates petroleum,midstates,curated
midstates petroleum company,midstates,curated
midville energy,midville energy,curated
midville energy llc,midville energy,curated
$milagro exploration, llc$,milagro exploration,curated
millennial energy partners,millennial energy partners,curated
milti-chem,multi-chem,curated
mine2well,mine2well,curated
mineracao curimbaba,mineracao curimbaba,curated
$mineral resources, inc$,mineral resources,curated
minerva,minerva,curated
minerva/cadiz,minerva,curated
mining,ambiguous,curated
miox corporation,miox corporation,curated
misc. chemicals,not a company,curated
mission,mission,curated
mission well,mission,curated
mission well services,mission,curated
mississippi,mississippi,curated
$mississippi sand, llc$,mississippi,curated
mississippi sand/chieftain sand/santrol/cadre/unimin,mississippi,curated
missouri river resources,missouri river resources,curated
mixed,not a company,curated
mk,mk,curated
$mlc operating, lp$,mlc operating lp,curated
mm energy,mm energy,curated
$mm energy, inc.$,mm energy,curated
$mnt native chemicals, llc$,mnt native chemicals,curated
moementive,momentive,curated
mohican operating,mohican operating,curated
$molopo energy texas, llc$,molopo energy texas,curated
momemtive,momentive,curated
momentice,momentive,curated
momentive,momentive,curated
momentive speciality chemicals inc.,momentive,curated
momentive specialty chemicals inc.,momentive,curated
$momentive specialty chemicals, inc.$,momentive,curated
$momentum operating co., inc.$,momentum operating,curated
$monarch energy co., llc$,monarch energy,curated
monarch signal peak silica,monarch signal peak,curated
monarch signal peak silicon,monarch signal peak,curated
$mongoose energy, llc$,mongoose,curated
$mongoose midstream, llc$,mongoose,curated
monoethanol amine,not a company,curated
monooctadecanoate,not a company,curated
montage,montage,curated
montage resources,montage,curated
monumentive,momentive,curated
moon,moon,curated
moon chemical,moon,curated
moon chemical products,moon,curated
$moon chemical products, inc.$,moon,curated
$moon-hines-tigrett operating co., inc.$,moon,curated
moore petroleum investment corp.,moore petroleum investment,curated
$moriah operating, llc$,moriah operating,curated
morningstar partners,morningstar partners,curated
mortimer production company,mortimer production company,curated
mosbacher energy company,mosbacher energy company,curated
motiva,motiva,curated
mountain creek,mountain creek,curated
$mountain creek energy, inc.$,mountain creek,curated
mountain creek products,mountain creek,curated
mountain divide llc,mountain divide,curated
mountain energy,mountain energy,curated
mountain oilfield supply & service,mountain supply & service,curated
mountain supply,mountain supply & service,curated
mountain supply & service,mountain supply & service,curated
$mountain supply & service, llc$,mountain supply & service,curated
mountain supply & services,mountain supply & service,curated
mountain supply and service,mountain supply & service,curated
mountain supply and service llc,mountain supply & service,curated
mountain supply company,mountain supply & service,curated
mountaincreek,mountain creek,curated
mountaineer keystone,mountaineer,curated
$mountaineer keystone, llc$,mountaineer,curated
mountaineer specialty,mountaineer,curated
mountian supply and service,mountain supply & service,curated
mountianeer specialty,mountaineer,curated
moutain supply & services,mountain supply & service,curated
mpb oil & gas,mpb oil & gas,curated
mr.,mr.,curated
mrd operating llc,mrd operating,curated
msc,msc,curated
mt creek prod,mountain creek,curated
mt creek products,mountain creek,curated
mt. creek,mountain creek,curated
mt. creek products,mountain creek,curated
mt. dora energy,mt. dora energy,curated
mu;lti-chem,multi-chem,curated
$mueller exploration, inc.$,mueller exploration,curated
muilt-chem,multi-chem,curated
muilti-chem,multi-chem,curated
muiti-chem,multi-chem,curated
muli-chem,multi-chem,curated
muli-chem group,multi-chem,curated
mulichem,multi-chem,curated
mulit chem,multi-chem,curated
mulit-chem,multi-chem,curated
mulit-chem group llc,multi-chem,curated
mulitchem,multi-chem,curated
muliti-chem,multi-chem,curated
muliti-chem group llc,multi-chem,curated
mulrichem,multi-chem,curated
mult-chem,multi-chem,curated
mult-ichem,multi-chem,curated
multchem,multi-chem,curated
multi - chem,multi-chem,curated
multi chem,multi-chem,curated
multi chem group llc,multi-chem,curated
multi chem halliburton,multi-chem,curated
multi chm,multi-chem,curated
multi_chem,multi-chem,curated
multi--chem group llc,multi-chem,curated
multi-cem,multi-chem,curated
multi-cham,multi-chem,curated
multi-chame,multi-chem,curated
multi-che,multi-chem,curated
multi-che m,multi-chem,curated
multi-che m group,multi-chem,curated
multi-che m group llc,multi-chem,curated
multi-chem,multi-chem,curated
$multi-chem
group llc$,multi-chem,curated
multi-chem  group,multi-chem,curated
multi-chem  group llc,multi-chem,curated
multi-chem (halliburton),multi-chem,curated
multi-chem a halliburton company,multi-chem,curated
multi-chem a halliburton service,multi-chem,curated
multi-chem group,multi-chem,curated
multi-chem group l,multi-chem,curated
multi-chem group llc,multi-chem,curated
multi-chem group llcbiocide,multi-chem,curated
multi-chem group llcscale inhibitor,multi-chem,curated
$multi-chem group, llc$,multi-chem,curated
multi-chem production chemicals,multi-chem,curated
multi-chem production chemicals(cid:111),multi-chem,curated
multi-chem/halliburton,multi-chem,curated
multi=chem/halliburton,multi-chem,curated
multicehm,multi-chem,curated
